./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
63  62  57  57  57  58  67  57  56  57  max: 67  average 10: 59  average total: 59 0KB/s(in)
20:21.38 53 64  53  64  53  61  62  61  62  52  max: 64  average 10: 58  average total: 58 9.8KB/s(in)
20:21.38 63 61  56  60  59  56  56  66  67  55  max: 67  average 10: 59  average total: 59
20:21.39 65 66  130 109 90  59  59  58  57  57  max: 130  average 10: 75  average total: 75
20:21.39 57 47  57  57  57  66  51  62  62  61  max: 66  average 10: 57  average total: 57
20:21.40 63 60  62  58  59  58  48  58  57  61  max: 63  average 10: 58  average total: 58
20:21.40 62 50  61  61  61  60  51  62  61  61  max: 62  average 10: 59  average total: 59
20:21.41 55 55  56  126 113 85  63  63  63  62  max: 126  average 10: 74  average total: 74
20:21.41 61 51  61  50  55  55  64  54  63  63  max: 64  average 10: 57  average total: 57
20:21.42 63 64  63  52  63  62  60  60  58  56  max: 64  average 10: 60  average total: 60
20:21.42 57 57  57  56  67  57  61  61  60  60  max: 67  average 10: 59  average total: 59
20:21.43 111    99  69  58  58  69  58  63  63  64  max: 111  average 10: 71  average total: 71
20:21.43 63 64  61  60  51  61  51  65  56  56  max: 65  average 10: 58  average total: 58
20:21.44 56 67  55  55  66  54  69  64  59  59  max: 69  average 10: 60  average total: 60
20:21.45 59 59  58  58  57  68  57  58  67  57  max: 68  average 10: 59  average total: 59
20:21.45 66 50  61  61  60  60  59  58  47  47  max: 66  average 10: 56  average total: 56
20:21.46 57 61  61  61  61  61  60  61  60  50  max: 61  average 10: 59  average total: 59
20:21.46 59 60  49  49  54  66  53  115 113 76  max: 115  average 10: 69  average total: 69
20:21.47 63 62  63  53  61  50  94  56  57  57  max: 94  average 10: 61  average total: 61
20:21.47 55 65  64  64  53  62  62  51  57  57  max: 65  average 10: 59  average total: 59
20:21.48 57 57  56  65  55  54  65  53  65  64  max: 65  average 10: 59  average total: 59
20:21.48 52 56  57  56  61  116 126 81  70  63  max: 126  average 10: 73  average total: 73 9.8KB/s(in)
20:21.49 65 69  70  133 143 235 215 204 168 135 max: 235  average 10: 143  average total: 143
20:21.49 127    112 70  397 357 319 307 285 251 221 max: 397  average 10: 244  average total: 244
